382,16
178,16
1000,16
1170,16
401,16
763,16
208,16
492,16
860,16
328,16
128,16
195,16
967,16
588,16
185,16
652,16
596,16
404,16
454,16
644,16
551,16
211,16
229,16
929,16
925,16
1724,16
936,16
530,16
807,16
944,16
319,16
1100,16
890,16
369,16
1815,16
91,16
938,16
321,16
265,16
143,16
517,16
459,16
478,16
954,16
220,16
165,16
822,16
1174,16
524,16
1167,16
1586,16
209,16
472,16
1689,16
1303,16
845,16
552,16
188,16
527,16
467,16
707,16
848,16
542,16
1519,16
147,16
1759,16
326,16
1152,16
1615,16
357,16
2797,16
424,16
469,16
199,16
137,16
1405,16
474,16
886,16
181,16
442,16
1232,16
423,16
2031,16
731,16
1163,16
372,16
573,16
515,16
1220,16
318,16
648,16
655,16
342,16
1919,16
1071,16
1909,16
1835,16
1089,16
1787,16
